cluster,lineage,celltype
0,Other,Doublet_high
1,Other,Doublet_high
2,Other,Doublet_high
3,Other,Doublet_high
4,Other,Doublet_high
5,Other,Doublet_high
6,Other,Doublet_high
7,Myeloid,Erythrocyte
8,Myeloid,Platelet
