cluster,lineage,celltype
0,Mesenchyme,AF1
1,Mesenchyme,AF1
2,Other,Low_count
3,Mesenchyme,Adventitial_fibroblast
4,Mesenchyme,Adventitial_fibroblast
5,Mesenchyme,AF2
6,Mesenchyme,AF1
7,Mesenchyme,VSMC
8,Mesenchyme,Peribronchial_fibroblast
9,Mesenchyme,Mesothelium
