cluster,lineage,celltype
0,Endothelium,CAP1
1,Endothelium,CAP1
2,Endothelium,CAP2
3,Other,CAP1_2
4,Endothelium,CAP1
5,Endothelium,Venous_endothelium
6,Endothelium,CAP1
7,Endothelium,CAP1
8,Endothelium,Lymphatic_endothelium
9,Endothelium,Arterial_endothelium
10,Endothelium,CAP1
11,Other,Low_quality
