p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,diff
0,0.8253370775862561,0.647,0.362,0,0,Ms4a4d,0.28500000000000003
0,0.8222124794480703,0.972,0.676,0,0,Sod3,0.29599999999999993
0,0.8161902514742936,0.543,0.28,0,0,Ncald,0.263
0,0.8086960944227474,0.652,0.347,0,0,Scn7a,0.30500000000000005
0,0.805834718405388,0.867,0.512,0,0,Gng11,0.355
0,0.7949816490404114,0.53,0.291,0,0,H6pd,0.23900000000000005
0,0.7931894289567802,0.642,0.372,0,0,Chpt1,0.27
0,0.7928517588320692,0.581,0.3,0,0,Maf,0.28099999999999997
0,0.7899435082087984,0.729,0.446,0,0,Tns3,0.283
0,0.7827061748978693,0.674,0.387,0,0,Cnn2,0.28700000000000003
0,0.778183910594574,0.728,0.44,0,0,Dpysl2,0.288
0,0.7701939220993618,0.656,0.353,0,0,Slit2,0.30300000000000005
0,0.7497745067991725,0.707,0.392,0,0,Lims1,0.31499999999999995
0,0.7291714328887037,0.925,0.63,0,0,Tagln2,0.29500000000000004
0,0.722199266383276,0.686,0.431,0,0,Gstm2,0.25500000000000006
0,0.72111654985614,0.995,0.783,0,0,Apoe,0.21199999999999997
0,0.7145169174360203,0.556,0.327,0,0,Acadsb,0.22900000000000004
0,0.7124555500473557,0.568,0.324,0,0,Vcl,0.24399999999999994
0,0.6885529340141576,0.622,0.383,0,0,Lox,0.239
0,0.6861677796105625,0.945,0.672,0,0,Csrp1,0.2729999999999999
0,0.6849477770631649,0.987,0.84,0,0,Cd81,0.14700000000000002
0,0.6793224008621557,0.645,0.398,0,0,Drap1,0.247
0,0.6780861282758149,0.57,0.326,0,0,Nrp1,0.24399999999999994
0,0.6775112703479796,0.678,0.432,0,0,Mat2a,0.24600000000000005
0,0.6771404756888371,0.908,0.673,0,0,Fxyd1,0.235
0,0.6658648973653951,0.928,0.646,0,0,Marcks,0.28200000000000003
0,0.653537947973761,0.672,0.411,0,0,Mgst1,0.26100000000000007
0,0.6387388159029801,0.533,0.328,0,0,Atf5,0.20500000000000002
0,0.633546440394991,0.603,0.394,0,0,Pkd2,0.20899999999999996
0,0.631958102796008,0.542,0.318,0,0,Iscu,0.22400000000000003
0,0.6314050664106934,0.622,0.388,0,0,Ednra,0.23399999999999999
0,0.630274280664654,0.802,0.554,0,0,Mbnl2,0.248
0,0.628309128770564,0.96,0.704,0,0,Ltbp4,0.256
0,0.6246967498536747,0.603,0.378,0,0,Peak1,0.22499999999999998
0,0.6171462067599264,0.772,0.513,0,0,Twsg1,0.259
0,0.6162090261788538,0.957,0.67,0,0,Mylk,0.2869999999999999
0,0.6157219733908157,1,0.865,0,0,Gsn,0.135
0,0.6067698680391759,0.74,0.442,0,0,F2r,0.298
0,0.6047422772232878,0.605,0.385,0,0,Ywhaq,0.21999999999999997
0,0.5953993106298995,0.904,0.575,0,0,Cp,0.32900000000000007
0,0.5925535441078594,0.632,0.413,0,0,Fkbp9,0.21900000000000003
0,0.580219557887516,0.961,0.693,0,0,Tmem176a,0.268
0,0.5780898627074478,0.831,0.538,0,0,Ptgis,0.2929999999999999
0,0.576244192812713,0.65,0.435,0,0,Ywhab,0.21500000000000002
0,0.5733008853193982,0.559,0.346,0,0,Scp2,0.21300000000000008
0,0.564572102907286,0.639,0.409,0,0,Mef2a,0.23000000000000004
0,0.5632930415965471,0.873,0.607,0,0,Hspb1,0.266
0,0.563054993414243,0.861,0.555,0,0,Olfml3,0.30599999999999994
0,0.5550791428519823,0.657,0.417,0,0,Nexn,0.24000000000000005
0,0.5496680439427011,0.834,0.687,0,0,Ccn1,0.1469999999999999
0,0.5410831388786101,0.852,0.622,0,0,Nr2f2,0.22999999999999998
0,0.5293151771261216,0.933,0.725,0,0,Anxa5,0.20800000000000007
0,0.5171539936887986,0.863,0.634,0,0,Clic4,0.22899999999999998
8.27185459760278e-308,0.5549424458598371,0.58,0.372,2.0693698646822876e-303,0,C1qtnf7,0.20799999999999996
